Model,MAE,RMSE,R2 Score
LightGBM,48136.15718230832,69263.91213831783,0.8906987029186488
CatBoost,49284.9474416659,70103.41286325957,0.8880331131027688
XGBoost,51019.0234375,71935.51957134945,0.8821042776107788
Random Forest,50769.668603896105,73533.19589661967,0.8768092316448209
Gradient Boosting,56818.85849340062,80106.425153013,0.8538004677546053
Linear Regression,83722.8323470285,111651.83199181948,0.7159838817690902
